;IdColumnIndex=0
5000:0=5000,1=200211,2=20011,3=19,6=1051260355
5480:0=5480,1=200259,2=20059,3=19,6=1051260355
5481:0=5481,1=200259,2=20059,3=19,6=1051260355
5482:0=5482,1=200259,2=20059,3=19,6=1051260355
5483:0=5483,1=200259,2=20059,3=19,6=1051260355
5484:0=5484,1=200259,2=20059,3=19,6=1051260355
5485:0=5485,1=200259,2=20059,3=19,6=1051260355
5486:0=5486,1=200259,2=20059,3=19,6=1051260355
5487:0=5487,1=200259,2=20059,3=19,6=1051260355
5488:0=5488,1=200259,2=20059,3=19,6=1051260355
5489:0=5489,1=200259,2=20059,3=19,6=1051260355
5490:0=5490,1=200259,2=20059,3=19,6=1051260355
5491:0=5491,1=200259,2=20059,3=19,6=1051260355
5492:0=5492,1=200259,2=20059,3=19,6=1051260355
5493:0=5493,1=200259,2=20059,3=19,6=1051260355
5494:0=5494,1=200259,2=20059,3=19,6=1051260355
5495:0=5495,1=200259,2=20059,3=19,6=1051260355
5496:0=5496,1=200259,2=20059,3=19,6=1051260355
5497:0=5497,1=200259,2=20059,3=19,6=1051260355
5498:0=5498,1=200259,2=20059,3=19,6=1051260355
5499:0=5499,1=200259,2=20059,3=19,6=1051260355
5500:0=5500,1=200259,2=20059,3=19,6=1051260355
5501:0=5501,1=200259,2=20059,3=19,6=1051260355
5502:0=5502,1=200260,2=20060,3=19,6=1051260355
5503:0=5503,1=200260,2=20060,3=19,6=1051260355
5504:0=5504,1=200260,2=20060,3=19,6=1051260355
5505:0=5505,1=200260,2=20060,3=19,6=1051260355
5506:0=5506,1=200260,2=20060,3=19,6=1051260355
5507:0=5507,1=200260,2=20060,3=19,6=1051260355
5508:0=5508,1=200260,2=20060,3=19,6=1051260355
5509:0=5509,1=200260,2=20060,3=19,6=1051260355
5510:0=5510,1=200260,2=20060,3=19,6=1051260355
5511:0=5511,1=200260,2=20060,3=19,6=1051260355
5512:0=5512,1=200260,2=20060,3=19,6=1051260355
5513:0=5513,1=200260,2=20060,3=19,6=1051260355
5514:0=5514,1=200260,2=20060,3=19,6=1051260355
5515:0=5515,1=200260,2=20060,3=19,6=1051260355
5516:0=5516,1=200260,2=20060,3=19,6=1051260355
5517:0=5517,1=200260,2=20060,3=19,6=1051260355
5518:0=5518,1=200260,2=20060,3=19,6=1051260355
5519:0=5519,1=200260,2=20060,3=19,6=1051260355
5520:0=5520,1=200260,2=20060,3=19,6=1051260355
5521:0=5521,1=200260,2=20060,3=19,6=1051260355
5522:0=5522,1=200260,2=20060,3=19,6=1051260355
5523:0=5523,1=200260,2=20060,3=19,6=1051260355
5524:0=5524,1=200260,2=20060,3=19,6=1051260355
5525:0=5525,1=200260,2=20060,3=19,6=1051260355
5526:0=5526,1=200260,2=20060,3=19,6=1051260355
5527:0=5527,1=200260,2=20060,3=19,6=1051260355
5528:0=5528,1=200261,2=20061,3=19,6=1051260355
5529:0=5529,1=200261,2=20061,3=19,6=1051260355
5530:0=5530,1=200261,2=20061,3=19,6=1051260355
5531:0=5531,1=200261,2=20061,3=19,6=1051260355
5532:0=5532,1=200261,2=20061,3=19,6=1051260355
5533:0=5533,1=200261,2=20061,3=19,6=1051260355
5534:0=5534,1=200261,2=20061,3=19,6=1051260355
5535:0=5535,1=200261,2=20061,3=19,6=1051260355
5536:0=5536,1=200261,2=20061,3=19,6=1051260355
5537:0=5537,1=200261,2=20061,3=19,6=1051260355
5538:0=5538,1=200261,2=20061,3=19,6=1051260355
5539:0=5539,1=200261,2=20061,3=19,6=1051260355
5540:0=5540,1=200261,2=20061,3=19,6=1051260355
5541:0=5541,1=200261,2=20061,3=19,6=1051260355
5542:0=5542,1=200261,2=20061,3=19,6=1051260355
5543:0=5543,1=200261,2=20061,3=19,6=1051260355
5544:0=5544,1=200261,2=20061,3=19,6=1051260355
5545:0=5545,1=200261,2=20061,3=19,6=1051260355
5546:0=5546,1=200261,2=20061,3=19,6=1051260355
5547:0=5547,1=200261,2=20061,3=19,6=1051260355
5548:0=5548,1=200261,2=20061,3=19,6=1051260355
5549:0=5549,1=200261,2=20061,3=19,6=1051260355
5550:0=5550,1=200261,2=20061,3=19,6=1051260355
5551:0=5551,1=200261,2=20061,3=19,6=1051260355
5552:0=5552,1=200261,2=20061,3=19,6=1051260355
5553:0=5553,1=200261,2=20061,3=19,6=1051260355
5554:0=5554,1=200261,2=20061,3=19,6=1051260355
5555:0=5555,1=200262,2=20062,3=19,6=1051260355
5556:0=5556,1=200262,2=20062,3=19,6=1051260355
5557:0=5557,1=200262,2=20062,3=19,6=1051260355
5558:0=5558,1=200262,2=20062,3=19,6=1051260355
5559:0=5559,1=200262,2=20062,3=19,6=1051260355
5560:0=5560,1=200262,2=20062,3=19,6=1051260355
5561:0=5561,1=200262,2=20062,3=19,6=1051260355
5562:0=5562,1=200262,2=20062,3=19,6=1051260355
5563:0=5563,1=200262,2=20062,3=19,6=1051260355
5564:0=5564,1=200262,2=20062,3=19,6=1051260355
5565:0=5565,1=200262,2=20062,3=19,6=1051260355
5566:0=5566,1=200262,2=20062,3=19,6=1051260355
5567:0=5567,1=200262,2=20062,3=19,6=1051260355
5568:0=5568,1=200262,2=20062,3=19,6=1051260355
5569:0=5569,1=200262,2=20062,3=19,6=1051260355
5570:0=5570,1=200262,2=20062,3=19,6=1051260355
5571:0=5571,1=200262,2=20062,3=19,6=1051260355
5572:0=5572,1=200262,2=20062,3=19,6=1051260355
5573:0=5573,1=200262,2=20062,3=19,6=1051260355
5574:0=5574,1=200262,2=20062,3=19,6=1051260355
5575:0=5575,1=200262,2=20062,3=19,6=1051260355
5576:0=5576,1=200262,2=20062,3=19,6=1051260355
5577:0=5577,1=200262,2=20062,3=19,6=1051260355
5578:0=5578,1=200262,2=20062,3=19,6=1051260355
5579:0=5579,1=200262,2=20062,3=19,6=1051260355
5580:0=5580,1=200262,2=20062,3=19,6=1051260355
5581:0=5581,1=200262,2=20062,3=19,6=1051260355
5582:0=5582,1=200262,2=20062,3=19,6=1051260355
5583:0=5583,1=200263,2=20063,3=19,6=1051260355
5584:0=5584,1=200263,2=20063,3=19,6=1051260355
5585:0=5585,1=200263,2=20063,3=19,6=1051260355
5586:0=5586,1=200263,2=20063,3=19,6=1051260355
5587:0=5587,1=200263,2=20063,3=19,6=1051260355
5588:0=5588,1=200263,2=20063,3=19,6=1051260355
5589:0=5589,1=200263,2=20063,3=19,6=1051260355
5590:0=5590,1=200263,2=20063,3=19,6=1051260355
5591:0=5591,1=200263,2=20063,3=19,6=1051260355
5592:0=5592,1=200263,2=20063,3=19,6=1051260355
5593:0=5593,1=200263,2=20063,3=19,6=1051260355
5594:0=5594,1=200263,2=20063,3=19,6=1051260355
5595:0=5595,1=200263,2=20063,3=19,6=1051260355
5596:0=5596,1=200263,2=20063,3=19,6=1051260355
5597:0=5597,1=200263,2=20063,3=19,6=1051260355
5598:0=5598,1=200263,2=20063,3=19,6=1051260355
5599:0=5599,1=200263,2=20063,3=19,6=1051260355
5600:0=5600,1=200263,2=20063,3=19,6=1051260355
5601:0=5601,1=200263,2=20063,3=19,6=1051260355
5602:0=5602,1=200263,2=20063,3=19,6=1051260355
5603:0=5603,1=200263,2=20063,3=19,6=1051260355
5604:0=5604,1=200263,2=20063,3=19,6=1051260355
5605:0=5605,1=200263,2=20063,3=19,6=1051260355
5606:0=5606,1=200263,2=20063,3=19,6=1051260355
5607:0=5607,1=200263,2=20063,3=19,6=1051260355
5608:0=5608,1=200263,2=20063,3=19,6=1051260355
5609:0=5609,1=200263,2=20063,3=19,6=1051260355
5610:0=5610,1=200263,2=20063,3=19,6=1051260355
5611:0=5611,1=200263,2=20063,3=19,6=1051260355
5612:0=5612,1=200264,2=20064,3=19,6=1051260355
5613:0=5613,1=200264,2=20064,3=19,6=1051260355
5614:0=5614,1=200264,2=20064,3=19,6=1051260355
5615:0=5615,1=200264,2=20064,3=19,6=1051260355
5616:0=5616,1=200264,2=20064,3=19,6=1051260355
5617:0=5617,1=200264,2=20064,3=19,6=1051260355
5618:0=5618,1=200264,2=20064,3=19,6=1051260355
5619:0=5619,1=200264,2=20064,3=19,6=1051260355
5620:0=5620,1=200264,2=20064,3=19,6=1051260355
5621:0=5621,1=200264,2=20064,3=19,6=1051260355
5622:0=5622,1=200264,2=20064,3=19,6=1051260355
5623:0=5623,1=200264,2=20064,3=19,6=1051260355
5624:0=5624,1=200264,2=20064,3=19,6=1051260355
5625:0=5625,1=200264,2=20064,3=19,6=1051260355
5626:0=5626,1=200264,2=20064,3=19,6=1051260355
5627:0=5627,1=200264,2=20064,3=19,6=1051260355
5628:0=5628,1=200264,2=20064,3=19,6=1051260355
5629:0=5629,1=200264,2=20064,3=19,6=1051260355
5630:0=5630,1=200264,2=20064,3=19,6=1051260355
5631:0=5631,1=200264,2=20064,3=19,6=1051260355
5632:0=5632,1=200264,2=20064,3=19,6=1051260355
5633:0=5633,1=200264,2=20064,3=19,6=1051260355
5634:0=5634,1=200264,2=20064,3=19,6=1051260355
5635:0=5635,1=200264,2=20064,3=19,6=1051260355
5636:0=5636,1=200264,2=20064,3=19,6=1051260355
5637:0=5637,1=200264,2=20064,3=19,6=1051260355
5638:0=5638,1=200264,2=20064,3=19,6=1051260355
5639:0=5639,1=200264,2=20064,3=19,6=1051260355
5640:0=5640,1=200264,2=20064,3=19,6=1051260355
5641:0=5641,1=200264,2=20064,3=19,6=1051260355
5642:0=5642,1=200265,2=20065,3=19,6=1051260355
5643:0=5643,1=200265,2=20065,3=19,6=1051260355
5644:0=5644,1=200265,2=20065,3=19,6=1051260355
5645:0=5645,1=200265,2=20065,3=19,6=1051260355
5646:0=5646,1=200265,2=20065,3=19,6=1051260355
5647:0=5647,1=200265,2=20065,3=19,6=1051260355
5648:0=5648,1=200265,2=20065,3=19,6=1051260355
5649:0=5649,1=200265,2=20065,3=19,6=1051260355
5650:0=5650,1=200265,2=20065,3=19,6=1051260355
5651:0=5651,1=200265,2=20065,3=19,6=1051260355
5652:0=5652,1=200265,2=20065,3=19,6=1051260355
5653:0=5653,1=200265,2=20065,3=19,6=1051260355
5654:0=5654,1=200265,2=20065,3=19,6=1051260355
5655:0=5655,1=200265,2=20065,3=19,6=1051260355
5656:0=5656,1=200265,2=20065,3=19,6=1051260355
5657:0=5657,1=200265,2=20065,3=19,6=1051260355
5658:0=5658,1=200265,2=20065,3=19,6=1051260355
5659:0=5659,1=200265,2=20065,3=19,6=1051260355
5660:0=5660,1=200265,2=20065,3=19,6=1051260355
5661:0=5661,1=200265,2=20065,3=19,6=1051260355
5662:0=5662,1=200265,2=20065,3=19,6=1051260355
5663:0=5663,1=200265,2=20065,3=19,6=1051260355
5664:0=5664,1=200265,2=20065,3=19,6=1051260355
5665:0=5665,1=200265,2=20065,3=19,6=1051260355
5666:0=5666,1=200265,2=20065,3=19,6=1051260355
5667:0=5667,1=200265,2=20065,3=19,6=1051260355
5668:0=5668,1=200265,2=20065,3=19,6=1051260355
5669:0=5669,1=200265,2=20065,3=19,6=1051260355
5670:0=5670,1=200265,2=20065,3=19,6=1051260355
5671:0=5671,1=200265,2=20065,3=19,6=1051260355
5672:0=5672,1=200265,2=20065,3=19,6=1051260355
5673:0=5673,1=200266,2=20066,3=19,6=1051260355
5674:0=5674,1=200266,2=20066,3=19,6=1051260355
5675:0=5675,1=200266,2=20066,3=19,6=1051260355
5676:0=5676,1=200266,2=20066,3=19,6=1051260355
5677:0=5677,1=200266,2=20066,3=19,6=1051260355
5678:0=5678,1=200266,2=20066,3=19,6=1051260355
5679:0=5679,1=200266,2=20066,3=19,6=1051260355
5680:0=5680,1=200266,2=20066,3=19,6=1051260355
5681:0=5681,1=200266,2=20066,3=19,6=1051260355
5682:0=5682,1=200266,2=20066,3=19,6=1051260355
5683:0=5683,1=200266,2=20066,3=19,6=1051260355
5684:0=5684,1=200266,2=20066,3=19,6=1051260355
5685:0=5685,1=200266,2=20066,3=19,6=1051260355
5686:0=5686,1=200266,2=20066,3=19,6=1051260355
5687:0=5687,1=200266,2=20066,3=19,6=1051260355
5688:0=5688,1=200266,2=20066,3=19,6=1051260355
5689:0=5689,1=200266,2=20066,3=19,6=1051260355
5690:0=5690,1=200266,2=20066,3=19,6=1051260355
5691:0=5691,1=200266,2=20066,3=19,6=1051260355
5692:0=5692,1=200266,2=20066,3=19,6=1051260355
5693:0=5693,1=200266,2=20066,3=19,6=1051260355
5694:0=5694,1=200266,2=20066,3=19,6=1051260355
5695:0=5695,1=200266,2=20066,3=19,6=1051260355
5696:0=5696,1=200266,2=20066,3=19,6=1051260355
5697:0=5697,1=200266,2=20066,3=19,6=1051260355
5698:0=5698,1=200266,2=20066,3=19,6=1051260355
5699:0=5699,1=200266,2=20066,3=19,6=1051260355
5700:0=5700,1=200266,2=20066,3=19,6=1051260355
5701:0=5701,1=200266,2=20066,3=19,6=1051260355
5702:0=5702,1=200266,2=20066,3=19,6=1051260355
5703:0=5703,1=200266,2=20066,3=19,6=1051260355
5704:0=5704,1=200266,2=20066,3=19,6=1051260355
5705:0=5705,1=200267,2=20067,3=19,6=1051260355
5706:0=5706,1=200267,2=20067,3=19,6=1051260355
5707:0=5707,1=200267,2=20067,3=19,6=1051260355
5708:0=5708,1=200267,2=20067,3=19,6=1051260355
5709:0=5709,1=200267,2=20067,3=19,6=1051260355
5710:0=5710,1=200267,2=20067,3=19,6=1051260355
5711:0=5711,1=200267,2=20067,3=19,6=1051260355
5712:0=5712,1=200267,2=20067,3=19,6=1051260355
5713:0=5713,1=200267,2=20067,3=19,6=1051260355
5714:0=5714,1=200267,2=20067,3=19,6=1051260355
5715:0=5715,1=200267,2=20067,3=19,6=1051260355
5716:0=5716,1=200267,2=20067,3=19,6=1051260355
5717:0=5717,1=200267,2=20067,3=19,6=1051260355
5718:0=5718,1=200267,2=20067,3=19,6=1051260355
5719:0=5719,1=200267,2=20067,3=19,6=1051260355
5720:0=5720,1=200267,2=20067,3=19,6=1051260355
5721:0=5721,1=200267,2=20067,3=19,6=1051260355
5722:0=5722,1=200267,2=20067,3=19,6=1051260355
5723:0=5723,1=200267,2=20067,3=19,6=1051260355
5724:0=5724,1=200267,2=20067,3=19,6=1051260355
5725:0=5725,1=200267,2=20067,3=19,6=1051260355
5726:0=5726,1=200267,2=20067,3=19,6=1051260355
5727:0=5727,1=200267,2=20067,3=19,6=1051260355
5728:0=5728,1=200267,2=20067,3=19,6=1051260355
5729:0=5729,1=200267,2=20067,3=19,6=1051260355
5730:0=5730,1=200267,2=20067,3=19,6=1051260355
5731:0=5731,1=200267,2=20067,3=19,6=1051260355
5732:0=5732,1=200267,2=20067,3=19,6=1051260355
5733:0=5733,1=200267,2=20067,3=19,6=1051260355
5734:0=5734,1=200267,2=20067,3=19,6=1051260355
5735:0=5735,1=200267,2=20067,3=19,6=1051260355
5736:0=5736,1=200267,2=20067,3=19,6=1051260355
5737:0=5737,1=200267,2=20067,3=19,6=1051260355
5738:0=5738,1=200268,2=20068,3=19,6=1051260355
5739:0=5739,1=200268,2=20068,3=19,6=1051260355
5740:0=5740,1=200268,2=20068,3=19,6=1051260355
5741:0=5741,1=200268,2=20068,3=19,6=1051260355
5742:0=5742,1=200268,2=20068,3=19,6=1051260355
5743:0=5743,1=200268,2=20068,3=19,6=1051260355
5744:0=5744,1=200268,2=20068,3=19,6=1051260355
5745:0=5745,1=200268,2=20068,3=19,6=1051260355
5746:0=5746,1=200268,2=20068,3=19,6=1051260355
5747:0=5747,1=200268,2=20068,3=19,6=1051260355
5748:0=5748,1=200268,2=20068,3=19,6=1051260355
5749:0=5749,1=200268,2=20068,3=19,6=1051260355
5750:0=5750,1=200268,2=20068,3=19,6=1051260355
5751:0=5751,1=200268,2=20068,3=19,6=1051260355
5752:0=5752,1=200268,2=20068,3=19,6=1051260355
5753:0=5753,1=200268,2=20068,3=19,6=1051260355
5754:0=5754,1=200268,2=20068,3=19,6=1051260355
5755:0=5755,1=200268,2=20068,3=19,6=1051260355
5756:0=5756,1=200268,2=20068,3=19,6=1051260355
5757:0=5757,1=200268,2=20068,3=19,6=1051260355
5758:0=5758,1=200268,2=20068,3=19,6=1051260355
5759:0=5759,1=200268,2=20068,3=19,6=1051260355
5760:0=5760,1=200268,2=20068,3=19,6=1051260355
5761:0=5761,1=200268,2=20068,3=19,6=1051260355
5762:0=5762,1=200268,2=20068,3=19,6=1051260355
5763:0=5763,1=200268,2=20068,3=19,6=1051260355
5764:0=5764,1=200268,2=20068,3=19,6=1051260355
5765:0=5765,1=200268,2=20068,3=19,6=1051260355
5766:0=5766,1=200268,2=20068,3=19,6=1051260355
5767:0=5767,1=200268,2=20068,3=19,6=1051260355
5768:0=5768,1=200268,2=20068,3=19,6=1051260355
5769:0=5769,1=200268,2=20068,3=19,6=1051260355
5770:0=5770,1=200268,2=20068,3=19,6=1051260355
5771:0=5771,1=200268,2=20068,3=19,6=1051260355
5772:0=5772,1=200269,2=20069,3=19,6=1051260355
5773:0=5773,1=200269,2=20069,3=19,6=1051260355
5774:0=5774,1=200269,2=20069,3=19,6=1051260355
5775:0=5775,1=200269,2=20069,3=19,6=1051260355
5776:0=5776,1=200269,2=20069,3=19,6=1051260355
5777:0=5777,1=200269,2=20069,3=19,6=1051260355
5778:0=5778,1=200269,2=20069,3=19,6=1051260355
5779:0=5779,1=200269,2=20069,3=19,6=1051260355
5780:0=5780,1=200269,2=20069,3=19,6=1051260355
5781:0=5781,1=200269,2=20069,3=19,6=1051260355
5782:0=5782,1=200269,2=20069,3=19,6=1051260355
5783:0=5783,1=200269,2=20069,3=19,6=1051260355
5784:0=5784,1=200269,2=20069,3=19,6=1051260355
5785:0=5785,1=200269,2=20069,3=19,6=1051260355
5786:0=5786,1=200269,2=20069,3=19,6=1051260355
5787:0=5787,1=200269,2=20069,3=19,6=1051260355
5788:0=5788,1=200269,2=20069,3=19,6=1051260355
5789:0=5789,1=200269,2=20069,3=19,6=1051260355
5790:0=5790,1=200269,2=20069,3=19,6=1051260355
5791:0=5791,1=200269,2=20069,3=19,6=1051260355
5792:0=5792,1=200269,2=20069,3=19,6=1051260355
5793:0=5793,1=200269,2=20069,3=19,6=1051260355
5794:0=5794,1=200269,2=20069,3=19,6=1051260355
5795:0=5795,1=200269,2=20069,3=19,6=1051260355
5796:0=5796,1=200269,2=20069,3=19,6=1051260355
5797:0=5797,1=200269,2=20069,3=19,6=1051260355
5798:0=5798,1=200269,2=20069,3=19,6=1051260355
5799:0=5799,1=200269,2=20069,3=19,6=1051260355
5800:0=5800,1=200269,2=20069,3=19,6=1051260355
5801:0=5801,1=200269,2=20069,3=19,6=1051260355
5802:0=5802,1=200269,2=20069,3=19,6=1051260355
5803:0=5803,1=200269,2=20069,3=19,6=1051260355
5804:0=5804,1=200269,2=20069,3=19,6=1051260355
5805:0=5805,1=200269,2=20069,3=19,6=1051260355
5806:0=5806,1=200269,2=20069,3=19,6=1051260355
5807:0=5807,1=200270,2=20070,3=19,6=1051260355
5808:0=5808,1=200270,2=20070,3=19,6=1051260355
5809:0=5809,1=200270,2=20070,3=19,6=1051260355
5810:0=5810,1=200270,2=20070,3=19,6=1051260355
5811:0=5811,1=200270,2=20070,3=19,6=1051260355
5812:0=5812,1=200270,2=20070,3=19,6=1051260355
5813:0=5813,1=200270,2=20070,3=19,6=1051260355
5814:0=5814,1=200270,2=20070,3=19,6=1051260355
5815:0=5815,1=200270,2=20070,3=19,6=1051260355
5816:0=5816,1=200270,2=20070,3=19,6=1051260355
5817:0=5817,1=200270,2=20070,3=19,6=1051260355
5818:0=5818,1=200270,2=20070,3=19,6=1051260355
5819:0=5819,1=200270,2=20070,3=19,6=1051260355
5820:0=5820,1=200270,2=20070,3=19,6=1051260355
5821:0=5821,1=200270,2=20070,3=19,6=1051260355
5822:0=5822,1=200270,2=20070,3=19,6=1051260355
5823:0=5823,1=200270,2=20070,3=19,6=1051260355
5824:0=5824,1=200270,2=20070,3=19,6=1051260355
5825:0=5825,1=200270,2=20070,3=19,6=1051260355
5826:0=5826,1=200270,2=20070,3=19,6=1051260355
5827:0=5827,1=200270,2=20070,3=19,6=1051260355
5828:0=5828,1=200270,2=20070,3=19,6=1051260355
5829:0=5829,1=200270,2=20070,3=19,6=1051260355
5830:0=5830,1=200270,2=20070,3=19,6=1051260355
5831:0=5831,1=200270,2=20070,3=19,6=1051260355
5832:0=5832,1=200270,2=20070,3=19,6=1051260355
5833:0=5833,1=200270,2=20070,3=19,6=1051260355
5834:0=5834,1=200270,2=20070,3=19,6=1051260355
5835:0=5835,1=200270,2=20070,3=19,6=1051260355
5836:0=5836,1=200270,2=20070,3=19,6=1051260355
5837:0=5837,1=200270,2=20070,3=19,6=1051260355
5838:0=5838,1=200270,2=20070,3=19,6=1051260355
5839:0=5839,1=200270,2=20070,3=19,6=1051260355
5840:0=5840,1=200270,2=20070,3=19,6=1051260355
5841:0=5841,1=200270,2=20070,3=19,6=1051260355
5842:0=5842,1=200270,2=20070,3=19,6=1051260355
5843:0=5843,1=200271,2=20071,3=19,6=1051260355
5844:0=5844,1=200271,2=20071,3=19,6=1051260355
5845:0=5845,1=200271,2=20071,3=19,6=1051260355
5846:0=5846,1=200271,2=20071,3=19,6=1051260355
5847:0=5847,1=200271,2=20071,3=19,6=1051260355
5848:0=5848,1=200271,2=20071,3=19,6=1051260355
5849:0=5849,1=200271,2=20071,3=19,6=1051260355
5850:0=5850,1=200271,2=20071,3=19,6=1051260355
5851:0=5851,1=200271,2=20071,3=19,6=1051260355
5852:0=5852,1=200271,2=20071,3=19,6=1051260355
5853:0=5853,1=200271,2=20071,3=19,6=1051260355
5854:0=5854,1=200271,2=20071,3=19,6=1051260355
5855:0=5855,1=200271,2=20071,3=19,6=1051260355
5856:0=5856,1=200271,2=20071,3=19,6=1051260355
5857:0=5857,1=200271,2=20071,3=19,6=1051260355
5858:0=5858,1=200271,2=20071,3=19,6=1051260355
5859:0=5859,1=200271,2=20071,3=19,6=1051260355
5860:0=5860,1=200271,2=20071,3=19,6=1051260355
5861:0=5861,1=200271,2=20071,3=19,6=1051260355
5862:0=5862,1=200271,2=20071,3=19,6=1051260355
5863:0=5863,1=200271,2=20071,3=19,6=1051260355
5864:0=5864,1=200271,2=20071,3=19,6=1051260355
5865:0=5865,1=200271,2=20071,3=19,6=1051260355
5866:0=5866,1=200271,2=20071,3=19,6=1051260355
5867:0=5867,1=200271,2=20071,3=19,6=1051260355
5868:0=5868,1=200271,2=20071,3=19,6=1051260355
5869:0=5869,1=200271,2=20071,3=19,6=1051260355
5870:0=5870,1=200271,2=20071,3=19,6=1051260355
5871:0=5871,1=200271,2=20071,3=19,6=1051260355
5872:0=5872,1=200271,2=20071,3=19,6=1051260355
5873:0=5873,1=200271,2=20071,3=19,6=1051260355
5874:0=5874,1=200271,2=20071,3=19,6=1051260355
5875:0=5875,1=200271,2=20071,3=19,6=1051260355
5876:0=5876,1=200271,2=20071,3=19,6=1051260355
5877:0=5877,1=200271,2=20071,3=19,6=1051260355
5878:0=5878,1=200271,2=20071,3=19,6=1051260355
5879:0=5879,1=200271,2=20071,3=19,6=1051260355
5880:0=5880,1=200272,2=20072,3=19,6=1051260355
5881:0=5881,1=200272,2=20072,3=19,6=1051260355
5882:0=5882,1=200272,2=20072,3=19,6=1051260355
5883:0=5883,1=200272,2=20072,3=19,6=1051260355
5884:0=5884,1=200272,2=20072,3=19,6=1051260355
5885:0=5885,1=200272,2=20072,3=19,6=1051260355
5886:0=5886,1=200272,2=20072,3=19,6=1051260355
5887:0=5887,1=200272,2=20072,3=19,6=1051260355
5888:0=5888,1=200272,2=20072,3=19,6=1051260355
5889:0=5889,1=200272,2=20072,3=19,6=1051260355
5890:0=5890,1=200272,2=20072,3=19,6=1051260355
5891:0=5891,1=200272,2=20072,3=19,6=1051260355
5892:0=5892,1=200272,2=20072,3=19,6=1051260355
5893:0=5893,1=200272,2=20072,3=19,6=1051260355
5894:0=5894,1=200272,2=20072,3=19,6=1051260355
5895:0=5895,1=200272,2=20072,3=19,6=1051260355
5896:0=5896,1=200272,2=20072,3=19,6=1051260355
5897:0=5897,1=200272,2=20072,3=19,6=1051260355
5898:0=5898,1=200272,2=20072,3=19,6=1051260355
5899:0=5899,1=200272,2=20072,3=19,6=1051260355
5900:0=5900,1=200272,2=20072,3=19,6=1051260355
5901:0=5901,1=200272,2=20072,3=19,6=1051260355
5902:0=5902,1=200272,2=20072,3=19,6=1051260355
5903:0=5903,1=200272,2=20072,3=19,6=1051260355
5904:0=5904,1=200272,2=20072,3=19,6=1051260355
5905:0=5905,1=200272,2=20072,3=19,6=1051260355
5906:0=5906,1=200272,2=20072,3=19,6=1051260355
5907:0=5907,1=200272,2=20072,3=19,6=1051260355
5908:0=5908,1=200272,2=20072,3=19,6=1051260355
5909:0=5909,1=200272,2=20072,3=19,6=1051260355
5910:0=5910,1=200272,2=20072,3=19,6=1051260355
5911:0=5911,1=200272,2=20072,3=19,6=1051260355
5912:0=5912,1=200272,2=20072,3=19,6=1051260355
5913:0=5913,1=200272,2=20072,3=19,6=1051260355
5914:0=5914,1=200272,2=20072,3=19,6=1051260355
5915:0=5915,1=200272,2=20072,3=19,6=1051260355
5916:0=5916,1=200272,2=20072,3=19,6=1051260355
5917:0=5917,1=200272,2=20072,3=19,6=1051260355
5918:0=5918,1=200273,2=20073,3=19,6=1051260355
5919:0=5919,1=200273,2=20073,3=19,6=1051260355
5920:0=5920,1=200273,2=20073,3=19,6=1051260355
5921:0=5921,1=200273,2=20073,3=19,6=1051260355
5922:0=5922,1=200273,2=20073,3=19,6=1051260355
5923:0=5923,1=200273,2=20073,3=19,6=1051260355
5924:0=5924,1=200273,2=20073,3=19,6=1051260355
5925:0=5925,1=200273,2=20073,3=19,6=1051260355
5926:0=5926,1=200273,2=20073,3=19,6=1051260355
5927:0=5927,1=200273,2=20073,3=19,6=1051260355
5928:0=5928,1=200273,2=20073,3=19,6=1051260355
5929:0=5929,1=200273,2=20073,3=19,6=1051260355
5930:0=5930,1=200273,2=20073,3=19,6=1051260355
5931:0=5931,1=200273,2=20073,3=19,6=1051260355
5932:0=5932,1=200273,2=20073,3=19,6=1051260355
5933:0=5933,1=200273,2=20073,3=19,6=1051260355
5934:0=5934,1=200273,2=20073,3=19,6=1051260355
5935:0=5935,1=200273,2=20073,3=19,6=1051260355
5936:0=5936,1=200273,2=20073,3=19,6=1051260355
5937:0=5937,1=200273,2=20073,3=19,6=1051260355
5938:0=5938,1=200273,2=20073,3=19,6=1051260355
5939:0=5939,1=200273,2=20073,3=19,6=1051260355
5940:0=5940,1=200273,2=20073,3=19,6=1051260355
5941:0=5941,1=200273,2=20073,3=19,6=1051260355
5942:0=5942,1=200273,2=20073,3=19,6=1051260355
5943:0=5943,1=200273,2=20073,3=19,6=1051260355
5944:0=5944,1=200273,2=20073,3=19,6=1051260355
5945:0=5945,1=200273,2=20073,3=19,6=1051260355
5946:0=5946,1=200273,2=20073,3=19,6=1051260355
5947:0=5947,1=200273,2=20073,3=19,6=1051260355
5948:0=5948,1=200273,2=20073,3=19,6=1051260355
5949:0=5949,1=200273,2=20073,3=19,6=1051260355
5950:0=5950,1=200273,2=20073,3=19,6=1051260355
5951:0=5951,1=200273,2=20073,3=19,6=1051260355
5952:0=5952,1=200273,2=20073,3=19,6=1051260355
5953:0=5953,1=200273,2=20073,3=19,6=1051260355
5954:0=5954,1=200273,2=20073,3=19,6=1051260355
5955:0=5955,1=200273,2=20073,3=19,6=1051260355
5956:0=5956,1=200273,2=20073,3=19,6=1051260355
5957:0=5957,1=200274,2=20074,3=19,6=1051260355
